Part No,Lvl,Rev,State,MR,Part Status,Document,Check Out,Change,R,Description,Technical Spec,MES D. Rev,Qty,UOM,UIT,Supply Type,Designator,SVC Loc,SVC,Designator/Split Qty,Designator/Split Comments,Job Explanation,Switch,Auth,Site Qty,Qty Exception,Maker,Standard,Substitute For
0CK222BKG6A,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","0402B222K500CT 2.2 nF 10% 50V X7R -55TO+125C 1005 TP - -  PILKOR CND CO.,LTD.",,3,EA,D,Assembly Pull,"C6829,C8035,C8058",,,1|1|1,||,,,,3,N,"PILKOR CND CO.,LTD.",Y,
0CK331BKFDA,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1005COG331J500NR 330 pF 5% 50V C0G -55TO+125C 1005 TP - - SAMWHA CAPACITOR CO, LTD.",,3,EA,G,Assembly Pull,"C8000,C8001,C8092",,,1|1|1,||,,,,3,N,"SAMWHA CAPACITOR CO, LTD.",Y,
0CK471BK56A,4,1.1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","CS1005X7R471K500NR 470 pF 10% 50V X7R -55TO+125C 1005 TP - -  SAMWHA CAPACITOR CO, LTD.",,3,EA,D,Assembly Pull,"C1500,C1700,C2500",,,1|1|1,||,,,,3,N,"SAMWHA CAPACITOR CO, LTD.",Y,
0CK475DD56A,4,1.2,Release,,3,,,,B,"Capacitor,Ceramic,Chip",CC0805KKX7R6BB475 4.7 uF 10% 10V X7R -55TO+125C 2012 TP - -  YAGEO CORPORATION,,2,EA,G,Assembly Pull,"C2332,C5307",,,1|1,|,,,,2,N,YAGEO CORPORATION,Y,
0CK680BK4DA,4,1,Release,,2,,,,B,"Capacitor,Ceramic,Chip","CS1005C0G680J500NR 68 pF 5% 50V C0G -55TO+125C 1005 TP - -  SAMWHA CAPACITOR CO, LTD.",,3,EA,G,Assembly Pull,"C6808,C6812,C6822",,,1|1|1,||,,,,3,N,"COWELL FASHION CO., LTD",Y,
0CZZB00024A,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","GRM1555C1H8R0D 8 pF 0.5PF 50V C0G -55TO+125C 1005 TP - -  MURATA MANUFACTURING CO.,LTD.",,1,EA,G,Assembly Pull,C9112,,,1,,,,,1,N,"MURATA MANUFACTURING CO.,LTD.",Y,
0CZZB00035A,4,1,Release,,3,,,,B,"Capacitor,Ceramic,Chip","GRM1555C1H330J 33 pF 5% 50V C0G -55TO+125C 1005 TP - -  SAMWHA CAPACITOR CO, LTD.",,11,EA,D,Assembly Pull,"C100,C101,C104,C105,C207,C208,C5310,C5311,C6815,C6816,C7001",,,1|1|1|1|1|1|1|1|1|1|1,||||||||||,,,,11,N,"SAMWHA CAPACITOR CO, LTD.",Y,
0RH0101G622,4,1,Release,,3,,,,B,"Resistor,Chip","MCR18EZPJ1R0 1OHM 5% 1/4W 3216 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R7008,R7009",,,1|1,|,,,,2,N,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Y,
0RH1002C422,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR03EZP5FX1002 10KOHM 1% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,5,EA,G,Assembly Pull,"R1502,R1700,R2502,R8046,R8047",,,1|1|1|1|1,||||,,,,5,N,"COWELL FASHION CO., LTD",Y,
0RH5102C422,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPFX5102 51KOHM 1% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R1601,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
