Part No,Lvl,Rev,State,MR,Part Status,Document,Check Out,Change,R,Description,Technical Spec,MES D. Rev,Qty,UOM,UIT,Supply Type,Designator,SVC Loc,SVC,Designator/Split Qty,Designator/Split Comments,Job Explanation,Switch,Auth,Site Qty,Qty Exception,Maker,Standard,Substitute For
EAP65276404,4,1,Release,1,2,,,,B,"Inductor,Wire Wound,Chip",TMPA0605S-1R0MN-4M6-D 1UH 20% - 15A 18 15 4.6m - - SHIELD 7X7X5MM - R/TP TAI-TECH ADVANCED ELECTRONICS CO . LTD,,1,EA,D,Assembly Pull,L2303,,,1,,,,,1,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAP65276405,4,1,Release,1,2,,,,B,"Inductor,Wire Wound,Chip",TMPA1004S-100MN-11L2-D 10UH 20% - 6.1A 7.5 6.1 30m - - SHIELD 10.85X10.0X4.0MM - R/TP TAI-TECH ADVANCED ELECTRONICS CO . LTD,,1,EA,D,Assembly Pull,L8007,,,1,,,,,1,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAP65276409,4,1,Working,,2,,JAZZIEL RIOS(jazzielb.rios),,B,"Inductor,Wire Wound,Chip",HPC5040NF-2R2M 2.2UH 20% - 3.5A 5 3.5 23m - - SHIELD 5.0x5.0x4.5MM - R/TP TAI-TECH ADVANCED ELECTRONICS CO . LTD,,1,EA,D,Assembly Pull,L8002,,,1,,,,,1,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAP65276412,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Inductor,Wire Wound,Chip",HPC6045NC-3R3M 3.3UH 20% - 5A 6.5 5 30m - - SHIELD 6.0X6.0X4.5MM - R/TP TAI-TECH ADVANCED ELECTRONICS CO . LTD,,1,EA,D,Assembly Pull,L2501,,,1,,,,,1,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAP65276418,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Inductor,Wire Wound,Chip",CKCS6045-10uH/M-Q22 10UH 20% - 2.6A 4.1 2.6 46m - - SHIELD 6.0X6.0X4.5MM - R/TP Shenzhen Cenker Enterprise Ltd.,,4,EA,D,Assembly Pull,"L5301,L5302,L5303,L5304",,,1|1|1|1,|||,,,,4,N,Shenzhen Cenker Enterprise Ltd.,Y,
EAP65276429,4,1,Working,,3,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Inductor,Wire Wound,Chip",CKCS6045-2.2uH/M-Q22 2.2UH 20% - 5.5A 9.5 5.5 13.5m - - SHIELD 6.0X6.0X4.5MM - R/TP Shenzhen Cenker Enterprise Ltd.,,1,EA,D,Assembly Pull,L2100,,,1,,,,,1,N,Shenzhen Cenker Enterprise Ltd.,Y,
EAP65276501,4,1,Release,1,2,,,,B,"Inductor,Multilayer,Chip",FCH2012F-100K 10UH 10% - 15mA - - 1.15OHM 24MHZ 45 SHIELD 1 2X1.25X1.25MM R/TP TAI-TECH ADVANCED ELECTRONICS CO . LTD,,2,EA,D,Assembly Pull,"L3300,L3301",,,1|1,|,,,,2,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAP65289603,4,1,Working,,2,,,,B,"Inductor,Wire Wound,Chip",AHP252012RA-2R2M-SF 2.2UH 20% - 2.6A 2.8 2.6 45m - - SHIELD 2.5X2.0X1.2MM - R/TP TAI-TECH ADVANCED ELECTRONICS CO . LTD,,1,EA,D,Assembly Pull,L1700,,,1,,,,,1,N,"TAI-TECH ADVANCED ELECTRONICS CO ., LTD",Y,
EAP65289605,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Inductor,Wire Wound,Chip",CKCSA252012-1uH/M-Q22 1UH 20% - 3.8A 3.8 3.5 58m - - SHIELD 2.5X2.0X1.2MM - R/TP Shenzhen Cenker Enterprise Ltd.,,1,EA,D,Assembly Pull,L1500,,,1,,,,,1,N,Shenzhen Cenker Enterprise Ltd.,Y,
EAV60793101,4,1.1,Release,,3,,,,B,"LED,Chip",LTST-C191KRKT RED 2.0TO2.4V 30mA 18.0TO54.0mcd 639nm 75W 1608 R/TP 2P -  Lite-On Technology Corporation,,1,EA,D,Assembly Pull,LD9100,,,1,,,,,1,N,Lite-On Technology Corporation,Y,
EAV61935201,4,1,Release,,2,,,,B,"LED,Chip","27-21/ R6C-AP1Q2B/3C RED 1.75TO2.35 Max 25mA 45TO112mcd 632nm 60mW 1606 R/TP 2P -  EVERLIGHT ELECTRONICS CO., LTD.",,1,EA,D,Assembly Pull,LD9700,,,1,,,,,1,N,"EVERLIGHT ELECTRONICS CO., LTD.",Y,
EAV62055001,4,1,Release,1,2,,,,B,Receiver Module,AO-R123C7G-LG(S) 2.7V TO 5.5V (SIDE VIEW) 450UA 37.9KHZ 15M 940NM R/TP 4P  AUK CORP,,1,EA,G,Assembly Pull,IC9701,,,1,,,,,1,N,AUK CORP,Y,
EAW40110703,4,1,Release,,2,,,,B,Crystal,"BMC-30(24M, 8p) 24MHZ 20PPM 8pF,3pF 3225 4PAD SMD R/TP  LIHOM-CUCHEN Co.Ltd.",,1,EA,G,Assembly Pull,X6800,,,1,,,,,1,N,LIHOM-CUCHEN Co.Ltd.,Y,
EAW64262701,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,Crystal,"9S27000049 27MHZ 20PPM 8pF 2016 SMD R/TP  GUANGDONG FAITH LONG CRYSTAL TECHNOLOGY Co.,Ltd.",,1,EA,D,Assembly Pull,X200,,,1,,,,,1,N,"GUANGDONG FAITH LONG CRYSTAL TECHNOLOGY Co.,Ltd.",Y,
EBC30996801,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF2000 200OHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R6801,R6802",,,1|1,|,,,,2,N,"ROHM CO.,LTD.",Y,
EBC32176201,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ511 510OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R4102,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
EBC33932801,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF2401 2.4KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R9700,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
EBC35293401,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF683. 68KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R7109,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
EBC62582701,4,1,Working,,3,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Resistor,Array","RTA02-2D330JTH(33) 33OHM 5% 1/16W 2 SMD R/TP 4P 1005 2010  ABCO ELECTRONICS CO.,LTD",,5,EA,G,Assembly Pull,"AR800,AR801,AR802,AR803,AR808",,,1|1|1|1|1,||||,,,,5,N,"ABCO ELECTRONICS CO.,LTD",Y,
EBC62582702,4,1,Working,,3,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Resistor,Array",2D02WGJ0332TCE 3.3KOHM 5% 1/16W 2 SMD R/TP 4P 1005 2010  UNIOHM ( UNIROYAL ELECTRONICS INDUSTRY CO. LTD.),,1,EA,G,Assembly Pull,AR101,,,1,,,,,1,N,UNIOHM ( UNIROYAL ELECTRONICS INDUSTRY CO. LTD.),Y,
EBC62582703,4,1,Working,,3,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Resistor,Array",2D02WGJ0473TCE 47KOHM 5% 1/16W 2 SMD R/TP 4P 1005 2010  UNIOHM ( UNIROYAL ELECTRONICS INDUSTRY CO. LTD.),,3,EA,G,Assembly Pull,"AR3312,AR3313,AR3314",,,1|1|1,||,,,,3,N,UNIOHM ( UNIROYAL ELECTRONICS INDUSTRY CO. LTD.),Y,
EBC62582706,4,1,Working,,3,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Resistor,Array","RTA02-2D101JTH(100) 100OHM 5% 1/16W 2 SMD R/TP 4P 1005*2 2010  ABCO ELECTRONICS CO.,LTD",,5,EA,G,Assembly Pull,"AR4100,AR4101,AR804,AR806,AR9700",,,1|1|1|1|1,||||,,,,5,N,"ABCO ELECTRONICS CO.,LTD",Y,
EBC62582710,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Resistor,Array",RTA02-2D750JTH(75) 75OHM 5% 1/16W 2 SMD R/TP 4P 1005X2 2010  RALEC,,3,EA,G,Assembly Pull,"AR3302,AR3303,AR3305",,,1|1|1,||,,,,3,N,RALEC,Y,
EBC62798406,4,1,Working,,3,,LUIS ENRIQUE FLORES(luise.flores),,B,"Resistor,Chip","RTA02-4D5R1JTH(5R1) 5.1OHM 5% 1/16W 1005X4 R/TP -  ABCO ELECTRONICS CO.,LTD",,6,EA,G,Assembly Pull,"AR3300,AR3301,AR3308,AR3309,AR3310,AR3311",,,1|1|1|1|1|1,|||||,,,,6,N,"ABCO ELECTRONICS CO.,LTD",Y,
EBC65736201,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"Resistor,Chip","ACR1206T0R15F(0R15) 0.15OHM 1% 1/4W 3216 R/TP -  ABCO ELECTRONICS CO.,LTD",,3,EA,G,Assembly Pull,"R8045,R8096,R8097",,,1|1|1,||,,,,3,N,"ABCO ELECTRONICS CO.,LTD",Y,
EBC65736301,4,1,Working,,2,,JAZZIEL RIOS(jazzielb.rios),,B,"Resistor,Chip","ACR1206T0R10F(0R1) 0.1OHM 1% 1/4W 3216 R/TP -  ABCO ELECTRONICS CO.,LTD",,1,EA,G,Assembly Pull,R8021,,,1,,,,,1,N,"ABCO ELECTRONICS CO.,LTD",Y,
EBF61874701,4,1,Release,,3,,,,B,"Switch,Tact","JTP-1136SM 1C1P 12VDC 50mA HORIZONTAL 160GF R/TP -  SwitchKOREA Co., Ltd",,1,EA,G,Assembly Pull,SW9700,,,1,,,,,1,N,"SwitchKOREA Co., Ltd",N,
EBJ30065002,4,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Transformer,Switching",CMTB3532-121 - 120uH 10/100 Single Port - - Shenzhen Cenker Enterprise Ltd.,,2,EA,D,Assembly Pull,"T5000,T5001",,,1|1,|,,,,2,N,Shenzhen Cenker Enterprise Ltd.,Y,
EBK61913702,4,1,Release,1,2,,,,B,FET,SSM3J332R P-CHANNEL MOSFET -30V 12 -6A 0.072OHM 1W SOT23 R/TP 3P  TOSHIBA ELECTRONICS KOREA CORPORATION,,3,EA,G,Assembly Pull,"Q1401,Q4101,Q8003",,,1|1|1,||,,,,3,N,TOSHIBA ELECTRONICS KOREA CORPORATION,Y,
EBK65194901,4,1,Release,1,2,,,,B,FET,"YJL3400A N-CHANNEL MOSFET 30V 12 5.6A 0.045OHM 1.2W SOT23 R/TP 3P  Yangzhou YANGJIE Electronic Technology Co., Ltd",,1,EA,D,Assembly Pull,Q801,,,1,,,,,1,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EBK65195101,4,1,Release,1,2,,,,B,"TR,Bipolar","MMBT3904_yangjie NPN 6V 60V 40V 200mA 50NA 100 to 300 350mW SOT23 R/TP 3P -  Yangzhou YANGJIE Electronic Technology Co., Ltd",,6,EA,D,Assembly Pull,"Q3302,Q3303,Q3305,Q4100,Q9100,Q9700",,,1|1|1|1|1|1,|||||,,,,6,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EBK65212101,4,1,Release,,2,,,,B,FET,"2N7002KC N-CHANNEL MOSFET 60V +-20 300mA 2OHM 300mW SOT-23 R/TP 3P  Yangzhou YANGJIE Electronic Technology Co., Ltd",,1,EA,D,Assembly Pull,Q1300,,,1,,,,,1,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EBK65214001,4,1,Working,,2,,JAZZIEL RIOS(jazzielb.rios),,B,FET,"YJL03N06C N-CHANNEL MOSFET 60V 20 3A 0.008OHM 1.2W SOT23 R/TP 3P  Yangzhou YANGJIE Electronic Technology Co., Ltd",,1,EA,D,Assembly Pull,Q8004,,,1,,,,,1,N,"Yangzhou YANGJIE Electronic Technology Co., Ltd",Y,
EBK65220701,4,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,FET,MDD1951RH N-CHANNEL MOSFET 60V 20 17.9A 0.045OHM 32.8W DPAK R/TP 3P  MAGNACHIP SEMICONDUCTOR LTD,,1,EA,D,Assembly Pull,Q8011,,,1,,,,,1,N,"MAGNACHIP SEMICONDUCTOR, LTD.",Y,
